feature,importance_mean,importance_std
rating_number_per_month,0.0330685618729097,0.0014980328484254836
brand,0.002717391304347827,0.0005120170867021576
value_score,0.00029264214046824665,0.0017518667926218155
category_l3,0.0002926421404682245,0.0014578257336256577
category_l2,0.00016722408026756952,0.0009197324414715667
avg_review_text_length,8.361204013378476e-05,0.0015223362421432404
price,-0.0008779264214046733,0.0006530309093567482
total_helpful_vote,-0.0035953177257525004,0.0006115693494284308
verified_purchase_ratio,-0.00397157190635451,0.0022082128170977165
review_count,-0.00397157190635451,0.002773097650798834
average_rating,-0.004096989966555187,0.0005386328899132432
avg_helpful_vote,-0.004431438127090304,0.0008506266701244111
avg_review_rating,-0.0056020066889631796,0.0015496448990677686
reviews_per_month,-0.018645484949832758,0.0016320419143765219
